"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","84,524.9","82,548.6","88,377.3","74,524.2","1.51M","2.39%"
"03/01/2025","82,548.8","84,353.4","94,986.5","76,677.1","2.37M","-2.17%"
"02/01/2025","84,381.2","102,421.3","102,770.8","78,329.8","2.40M","-10.74%"
"01/01/2025","94,536.1","94,600.0","95,928.1","89,423.1","55.30K","1.05%"
"12/01/2024","93,557.2","96,404.7","108,244.9","91,522.3","4.41M","-2.95%"
"11/01/2024","96,405.7","70,278.7","99,617.4","66,834.0","4.16M","37.17%"
"10/01/2024","70,281.8","63,329.9","73,569.4","59,075.7","2.56M","10.96%"
"09/01/2024","63,339.2","58,975.7","66,440.7","52,644.6","2.34M","7.39%"
"08/01/2024","58,978.6","64,625.7","65,587.9","49,486.9","2.56M","-8.74%"
"07/01/2024","64,626.0","62,768.8","70,000.2","53,883.4","2.06M","2.98%"
"06/01/2024","62,754.3","67,533.9","71,956.5","58,589.9","1.60M","-7.07%"
"05/01/2024","67,530.1","60,665.0","71,872.0","56,643.5","2.10M","11.31%"
"04/01/2024","60,666.6","71,329.3","72,710.8","59,228.7","2.66M","-14.95%"
"03/01/2024","71,332.0","61,157.3","73,740.9","60,138.2","2.70M","16.61%"
"02/01/2024","61,169.3","42,580.1","63,915.3","41,890.5","1.74M","43.66%"
"01/01/2024","42,580.5","42,272.5","48,923.7","38,546.9","2.03M","0.73%"
"12/01/2023","42,272.5","37,712.9","44,697.6","37,618.3","1.63M","12.09%"
"11/01/2023","37,712.9","34,648.3","38,400.8","34,124.2","1.48M","8.84%"
"10/01/2023","34,650.6","26,962.5","35,191.4","26,558.4","1.61M","28.51%"
"09/01/2023","26,962.7","25,938.3","27,480.7","24,923.1","1.15M","3.95%"
"08/01/2023","25,937.3","29,232.3","30,168.6","25,481.9","1.34M","-11.27%"
"07/01/2023","29,232.4","30,472.9","31,764.5","28,890.7","1.23M","-4.07%"
"06/01/2023","30,472.9","27,216.4","31,395.4","24,838.0","1.77M","11.97%"
"05/01/2023","27,216.1","29,252.1","29,816.4","25,853.1","1.66M","-6.96%"
"04/01/2023","29,252.1","28,473.7","30,964.9","27,054.3","2.03M","2.73%"
"03/01/2023","28,473.7","23,130.6","29,160.4","19,591.8","10.26M","23.10%"
"02/01/2023","23,130.5","23,124.7","25,236.8","21,418.7","9.09M","0.02%"
"01/01/2023","23,125.1","16,537.5","23,952.9","16,499.7","8.98M","39.83%"
"12/01/2022","16,537.4","17,163.4","18,351.8","16,331.2","6.61M","-3.65%"
"11/01/2022","17,163.9","20,496.1","21,464.7","15,504.2","10.30M","-16.26%"
"10/01/2022","20,496.3","19,422.9","21,038.1","18,207.9","8.29M","5.53%"
"09/01/2022","19,423.0","20,049.9","22,702.5","18,191.8","10.91M","-3.10%"
"08/01/2022","20,043.9","23,303.4","25,205.7","19,542.9","6.55M","-13.99%"
"07/01/2022","23,303.4","19,926.6","24,605.3","18,794.4","5.79M","16.95%"
"06/01/2022","19,926.6","31,793.1","31,969.9","17,630.5","3.79M","-37.32%"
"05/01/2022","31,793.4","37,642.0","40,021.0","26,500.5","4.67B","-15.56%"
"04/01/2022","37,650.0","45,529.0","47,435.0","37,596.0","12.14B","-17.30%"
"03/01/2022","45,525.0","43,187.2","48,199.0","37,182.1","43.70B","5.41%"
"02/01/2022","43,188.2","38,475.6","45,755.2","34,357.4","1.82M","12.18%"
"01/01/2022","38,498.6","46,217.5","47,944.9","32,985.6","2.03M","-16.70%"
"12/01/2021","46,219.5","56,891.7","59,064.3","42,587.8","1.90M","-18.75%"
"11/01/2021","56,882.9","61,310.1","68,990.6","53,448.3","1.85M","-7.22%"
"10/01/2021","61,309.6","43,824.4","66,967.1","43,292.9","2.18M","39.90%"
"09/01/2021","43,823.3","47,129.2","52,885.3","39,646.8","2.21M","-7.02%"
"08/01/2021","47,130.4","41,510.0","50,498.8","37,365.4","2.14M","13.42%"
"07/01/2021","41,553.7","35,030.7","42,285.3","29,310.2","2.44M","18.63%"
"06/01/2021","35,026.9","37,294.3","41,318.0","28,901.8","4.14M","-6.09%"
"05/01/2021","37,298.6","57,719.1","59,523.9","30,261.7","5.33M","-35.38%"
"04/01/2021","57,720.3","58,763.2","64,778.0","47,098.5","2.97M","-1.78%"
"03/01/2021","58,763.7","45,160.5","61,795.8","45,008.8","3.01M","30.11%"
"02/01/2021","45,164.0","33,106.8","58,335.1","32,324.9","4.01M","36.41%"
"01/01/2021","33,108.1","28,951.7","41,921.7","28,204.5","5.50M","14.37%"
"12/01/2020","28,949.4","19,697.8","29,298.8","17,600.1","3.85M","46.97%"
"11/01/2020","19,698.1","18,394.6","19,831.2","16,235.2","4.05M","42.77%"
"10/01/2020","13,797.3","10,776.6","14,065.4","10,387.6","2.41M","28.04%"
"09/01/2020","10,776.1","11,644.2","12,045.9","9,877.1","83.88M","-7.46%"
"08/01/2020","11,644.2","11,333.2","12,444.1","10,730.7","15.39M","2.74%"
"07/01/2020","11,333.4","10,961.1","11,434.8","10,771.8","13.21M","24.06%"
"06/01/2020","9,135.4","9,454.5","10,301.8","8,865.3","15.35M","-3.38%"
"05/01/2020","9,454.8","8,628.6","10,033.0","8,235.6","38.48M","9.57%"
"04/01/2020","8,629.0","6,412.4","9,437.5","6,157.4","39.41M","34.56%"
"03/01/2020","6,412.5","8,543.8","9,180.8","3,869.5","48.24M","-24.94%"
"02/01/2020","8,543.7","9,349.3","10,482.6","8,543.7","23.76M","-8.62%"
"01/01/2020","9,349.1","7,196.4","9,569.0","6,884.1","23.56M","29.91%"