Date,Price,Open,High,Low,Volume,Google Trend
4/1/25,85.65,82.95,88.49,63.51,25.33M,17
3/1/25,82.96,127.78,130.63,80.87,44.57M,13
2/1/25,128.04,128.06,139.88,82.39,67.60M,17
1/1/25,128.08,103.29,140.79,93.29,44.29M,14
12/1/24,103.26,102.68,146.49,86.95,57.52M,17
11/1/24,102.66,69.33,106.13,64.46,48.64M,10
10/1/24,69.3,66.88,76.06,61.98,14.88M,4
9/1/24,66.88,64.97,71.49,59.67,14.18M,0
8/1/24,64.97,70.15,71.43,50.31,19.48M,7
7/1/24,70.15,75.32,76.72,57.33,16.37M,7
6/1/24,75.31,83.21,85.82,67.8,15.71M,6
5/1/24,83.21,79.49,89.53,74.65,19.42M,10
4/1/24,79.49,105.05,112.65,70.86,49.32M,9
3/1/24,105.05,79.87,110.07,73.57,66.07M,11
2/1/24,79.87,66.76,84.9,65.74,25.71M,0
1/1/24,66.76,72.82,77.08,57.62,29.59M,4
12/1/23,72.83,69.42,79.51,68.27,20.58M,7
11/1/23,69.42,68.9,76.75,65.5,15.73M,12
10/1/23,68.9,65.98,72.73,59.92,12.28M,9
9/1/23,65.96,63.87,68.27,57.79,13.68M,8
8/1/23,63.87,92.22,94.5,57.2,19.43M,7
7/1/23,92.22,108.66,114.76,87.75,28.39M,11
6/1/23,108.66,90.44,111.26,71.53,20.86M,6
5/1/23,90.45,88.14,94.97,75.86,20.89M,9
4/1/23,88.14,89.57,103.1,84.53,19.02M,10
3/1/23,89.57,93.79,98.27,65.1,30.78M,10
2/1/23,93.79,94.14,105.25,88.36,16.38M,8
1/1/23,94.14,70.08,97.53,69.05,24.37M,9
12/1/22,70.08,79.15,83.98,61.09,21.77M,7
11/1/22,79.15,55.04,81.91,48,40.34M,5
10/1/22,55.04,53.49,57.56,48.39,10.52M,7
9/1/22,53.49,53.84,67.38,50.17,19.33M,7
8/1/22,53.81,59.77,65.81,51.83,15.47M,5
7/1/22,59.77,53.83,64.55,46.56,16.23M,7
6/1/22,53.83,68.3,70.5,40.4,26.38M,9
5/1/22,68.3,95.9,107.1,54.9,20.87M,9
4/1/22,95.9,123.8,129.5,94,10.38M,15
3/1/22,123.8,113.8,134,96.4,696.85M,17
2/1/22,113.8,109.4,143.8,91.7,14.97M,8
1/1/22,109.4,146.3,153.5,96.6,16.59M,13
12/1/21,146.3,207.8,217.6,130.3,20.37M,17
11/1/21,208.1,191.72,295.1,183.5,164.37M,22
10/1/21,191.74,153.33,214.46,151.25,1.94B,20
9/1/21,153.33,171.54,233.81,139.92,1.72B,23
8/1/21,171.49,144.09,191.26,135.68,846.25M,25
7/1/21,144.69,144.15,148.06,104.05,388.57M,25
6/1/21,144.15,188.06,197.6,105.12,518.40M,28
5/1/21,188.17,271.15,412.8,118.47,4.95B,56
4/1/21,271.08,196.67,335.27,192.37,5.37B,46
3/1/21,196.66,165.15,230.09,163.37,4.06B,36
2/1/21,165.12,129.4,247.07,126,4.34B,92
1/1/21,129.4,124.16,185.67,112.9,9.66B,54
12/1/20,124.16,87.62,139.41,70.01,6.94B,34
11/1/20,87.66,55.73,93.95,51.5,1.97B,16
10/1/20,55.73,46.27,60.57,43.3,383.58M,12
9/1/20,46.26,60.96,64.27,41.93,377.13M,14
8/1/20,60.96,58.16,68.88,51.73,432.97M,28
7/1/20,58.16,41.19,59.21,40.39,358.66M,13
6/1/20,41.2,45.61,49.93,39.32,267.79M,8
5/1/20,45.61,46.39,49.93,39.57,360.64M,9
4/1/20,46.4,39.06,50.8,37.2,472.46M,12
3/1/20,39.08,58.08,63.81,24.35,421.22M,19
2/1/20,58.08,68.04,84.09,58.08,328.93M,15
1/1/20,68.04,41.29,81.21,38.97,254.16M,16
12/1/19,41.29,47.52,47.52,35.94,298.22M,10
11/1/19,47.52,58.43,65.38,42.51,363.24M,11
10/1/19,58.43,55.98,62.45,47.61,340.03M,12
9/1/19,55.96,64.28,79.94,51.16,288.32M,22
8/1/19,64.27,98.78,106.38,58.55,297.24M,25
7/1/19,98.78,123.03,126.88,76.71,355.75M,20
6/1/19,122.99,114.48,145.5,98.58,377.44M,27
5/1/19,114.48,74.23,121.59,71.82,501.95M,13
4/1/19,74.23,60.78,97.79,60.34,333.67M,19
3/1/19,60.78,45.82,63.16,44.98,378.66M,10
2/1/19,45.82,31.43,53.41,30.87,250.79M,11
1/1/19,31.43,29.9,40.8,29.38,181.78M,13
12/1/18,29.89,32.18,60.67,22.36,125.20M,13
11/1/18,32.23,49.95,56.8,27.67,97.39M,8
10/1/18,49.94,61.22,62.14,48.16,83.04M,9
9/1/18,61.22,62.03,69.38,47.34,99.54M,14
8/1/18,62.03,78.97,79.1,48.93,73.97M,10
7/1/18,78.96,81.28,94.66,74.76,44.94M,13
6/1/18,81.27,118.46,127.86,72.67,41.90M,14
5/1/18,118.46,148.3,183.88,110.03,37.18M,13
4/1/18,148.33,116.33,166.03,109.88,41.01M,22
3/1/18,116.34,202.23,217.88,109.97,59.99M,24
2/1/18,202.01,163.88,251.12,104.91,72.28M,37
1/1/18,163.88,227.17,304,135,62.98M,52
12/1/17,227.17,85.82,420,82,161.18M,100
11/1/17,85.82,55.41,103.54,50.25,74.86M,31
10/1/17,55.41,55.26,69.59,48.15,43.96M,18
9/1/17,55.26,73.23,98.28,33.56,103.03M,20
8/1/17,73.23,42.27,74.8,41.18,41.11M,18
7/1/17,42.27,39.49,57.75,34.78,53.56M,17
6/1/17,39.49,25.88,49.99,24.42,67.72M,15
5/1/17,25.88,16.2,38.91,15.5,71.74M,15
4/1/17,16.2,7.25,16.74,6.65,34.48M,0
3/1/17,7.25,3.85,9.9,3.69,4.99M,0
2/1/17,3.85,4.07,4.15,3.62,672.51K,0
1/1/17,4.07,4.36,5.99,3.65,397.32K,0
12/1/16,4.36,3.84,5.14,3.32,153.67K,0
11/1/16,3.84,3.98,4.5,3.51,149.80K,0
10/1/16,3.98,3.81,4.25,3.7,110.11K,0
9/1/16,3.81,3.74,6.72,3.26,122.61K,0